symbol,timeframe,horizon,event_spec,event,slice_name,slice,n,mean,std,sharpe,sharpe_ann,q05,q50,q95,hit_rate
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2025,conditional,89,0.00030278998457193015,0.008717372014065087,0.03473409005413468,0.5513865857961743,-0.016063367046758013,0.0007605191369759456,0.010792923681023046,0.5730337078651685
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2026,unconditional,5,0.003179153796776091,0.004564236268374866,0.6965357641111017,11.057162466601943,-0.0025990449313175513,0.005947187808991838,0.00665078123862739,0.6
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2026,conditional,1,0.006613392119041217,,,,0.006613392119041217,0.006613392119041217,0.006613392119041217,1.0
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2020,unconditional,15,0.0003943522163540436,0.006683521907088304,0.059003654336167846,0.936653974905108,-0.009838550169387937,0.0008985949243001112,0.010069382966083257,0.5333333333333333
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2020,conditional,1,0.005080781741444662,,,,0.005080781741444662,0.005080781741444662,0.005080781741444662,1.0
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2021,unconditional,252,0.0010610142091452104,0.008209389810391605,0.12924397959543327,2.0516845707709366,-0.013057426836882047,0.0014195065829383235,0.014322497494739217,0.5833333333333334
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2021,conditional,58,0.0006527514984333877,0.0064821706885969995,0.10069952332197367,1.598555375116147,-0.009362986707646482,0.0015339563613560037,0.009522369646301319,0.6551724137931034
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2022,unconditional,251,-0.0007862970489240624,0.015283762581342892,-0.05144656263398821,-0.8166888632318453,-0.026267693724207508,-0.0021546433928814057,0.025004461079648155,0.4262948207171315
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2022,conditional,19,-0.0002423213158272664,0.016438798434939356,-0.014740816780880513,-0.23400321194506524,-0.020740059694419923,-0.003059805285118178,0.026797258367021105,0.3684210526315789
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2023,conditional,36,0.00048168707814588707,0.007929432669257316,0.060746726561334514,0.964324388655198,-0.012376404564808402,0.0003762795628901028,0.014204689471228271,0.5277777777777778
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2024,conditional,41,0.0009077016937874914,0.006571960109751705,0.13811734682330343,2.192544908631107,-0.009994144056217014,0.000972482351246251,0.009895289842035249,0.6341463414634146
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2025,conditional,48,-0.0006909607462437401,0.009160400207972428,-0.0754291003183886,-1.1973998463587952,-0.016129694753814587,0.0003891285338744055,0.008050503443453483,0.5416666666666666
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2026,unconditional,5,0.003179153796776091,0.004564236268374866,0.6965357641111017,11.057162466601943,-0.0025990449313175513,0.005947187808991838,0.00665078123862739,0.6
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,2026,conditional,0,,,,,,,,
